2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:11.9572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
